"","V3","n","hgnc_symbol"
"616","ENSG00000100697",6,"DICER1"
"617","ENSG00000100726",1,"TELO2"
"618","ENSG00000100739",1,"BDKRB1"
"619","ENSG00000100749",1,"VRK1"
"620","ENSG00000100764",1,"PSMC1"
"621","ENSG00000100784",1,"RPS6KA5"
"622","ENSG00000100811",3,"YY1"
"623","ENSG00000100823",11,"APEX1"
"624","ENSG00000100852",1,"ARHGAP5"
"625","ENSG00000100883",1,"SRP54"
"626","ENSG00000100906",12,"NFKBIA"
"627","ENSG00000100916",1,"BRMS1L"
"628","ENSG00000100968",1,"NFATC4"
"629","ENSG00000100979",1,"PLTP"
"630","ENSG00000100985",55,"MMP9"
"631","ENSG00000100994",2,"PYGB"
"632","ENSG00000101003",1,"GINS1"
"633","ENSG00000101017",2,"CD40"
"634","ENSG00000101057",3,"MYBL2"
"635","ENSG00000101096",4,"NFATC2"
"636","ENSG00000101109",2,"STK4"
"637","ENSG00000101115",7,"SALL4"
"638","ENSG00000101144",3,"BMP7"
"639","ENSG00000101146",1,"RAE1"
"640","ENSG00000101150",1,"TPD52L2"
"641","ENSG00000101160",1,"CTSZ"
