"","V3","n","hgnc_symbol"
"609","ENSG00000079999",3,"KEAP1"
"610","ENSG00000080224",2,"EPHA6"
"611","ENSG00000080371",2,"RAB21"
"612","ENSG00000080503",7,"SMARCA2"
"613","ENSG00000080546",3,"SESN1"
"614","ENSG00000080561",1,"MID2"
"615","ENSG00000080603",2,"SRCAP"
"616","ENSG00000080618",1,"CPB2"
"617","ENSG00000080709",1,"KCNN2"
"618","ENSG00000080824",27,"HSP90AA1"
"619","ENSG00000080839",3,"RBL1"
"620","ENSG00000080854",1,"IGSF9B"
"621","ENSG00000080986",1,"NDC80"
"622","ENSG00000081026",1,"MAGI3"
"623","ENSG00000081041",1,"CXCL2"
"624","ENSG00000081051",1,"AFP"
"625","ENSG00000081059",2,"TCF7"
"626","ENSG00000081181",2,"ARG2"
"627","ENSG00000081277",2,"PKP1"
"628","ENSG00000081377",1,"CDC14B"
"629","ENSG00000081479",3,"LRP2"
"630","ENSG00000081913",4,"PHLPP1"
"631","ENSG00000081923",1,"ATP8B1"
"632","ENSG00000082014",1,"SMARCD3"
"633","ENSG00000082068",1,"WDR70"
"634","ENSG00000082175",12,"PGR"
"635","ENSG00000082196",1,"C1QTNF3"
"636","ENSG00000082212",1,"ME2"
