"Entity1_id","numChemical","Ensembl.Id","Symbol"
"PA25985",2,"ENSG00000154975","CA10"
"PA26007",2,"ENSG00000141837","CACNA1A"
"PA26008",2,"ENSG00000148408","CACNA1B"
"PA26009",2,"ENSG00000198216","CACNA1E"
"PA26010",2,"ENSG00000102001","CACNA1F"
"PA26013",2,"ENSG00000157445","CACNA2D3"
"PA26014",2,"ENSG00000182389","CACNB4"
"PA26058",2,"ENSG00000142330","CAPN10"
"PA26074",2,"ENSG00000167207","NOD2"
"PA26083",2,"ENSG00000137752","CASP1"
"PA26094",2,"ENSG00000132906","CASP9"
"PA26123",2,"ENSG00000160200","CBS"
"PA26143",2,"ENSG00000110148","CCKBR"
"PA26170",2,"ENSG00000160791","CCR5"
"PA26180",2,"ENSG00000163468","CCT3"
"PA26188",2,"ENSG00000170458","CD14"
"PA26227",2,"ENSG00000116815","CD58"
"PA26276",2,"ENSG00000111665","CDCA3"
"PA26287",2,"ENSG00000140945","CDH13"
"PA26448",2,"ENSG00000070748","CHAT"
"PA26503",2,"ENSG00000122863","CHST3"
"PA26510",2,"ENSG00000213341","CHUK"
"PA26551",2,"ENSG00000011021","CLCN6"
"PA268",2,"ENSG00000005471","ABCB4"
"PA26864",2,"ENSG00000118260","CREB1"
"PA26904",2,"ENSG00000008405","CRY1"
"PA27090",2,"ENSG00000148795","CYP17A1"
"PA27099",2,"ENSG00000111012","CYP27B1"
"PA27101",2,"ENSG00000197838","CYP2A13"
"PA27119",2,"ENSG00000142973","CYP4B1"
"PA27360",2,"ENSG00000151208","DLG5"
"PA27433",2,"ENSG00000187240","DYNC2H1"
"PA27491",2,"ENSG00000171587","DSCAM"
"PA27513",2,"ENSG00000113070","HBEGF"
"PA27535",2,"","DUX1"
"PA27614",2,"ENSG00000078401","EDN1"
"PA27720",2,"ENSG00000135930","EIF4E2"
"PA27810",2,"ENSG00000159023","EPB41"
"PA27903",2,"ENSG00000157557","ETS2"
"PA27923",2,"ENSG00000174371","EXO1"
"PA28058",2,"ENSG00000104921","FCER2"
"PA28075",2,"ENSG00000160752","FDPS"
"PA28205",2,"ENSG00000086205","FOLH1"
"PA28393",2,"ENSG00000144908","ALDH1L1"
"PA28576",2,"ENSG00000159131","GART"
"PA28587",2,"ENSG00000136574","GATA4"
"PA28601",2,"ENSG00000145321","GC"
